unit_id,rule_id,reaction_id
306,55081,22866
943,55082,22856
943,55082,22845
943,55082,22849
943,55082,22856
943,55082,22857
943,55082,22863
943,55082,22864
6950,55083,22858
6950,55083,22848
6950,55083,22854
6950,55083,22858
11701,55084,22858
2085,55085,22856
2085,55085,22864
2085,55085,22849
2085,55085,22864
5181,55086,22856
5181,55086,22849
5181,55086,22864
10895,55087,22841
10895,55087,22841
10895,55087,22848
10895,55087,22858
10895,55087,22859
10895,55087,22860
9068,55088,22851
9068,55088,22856
9068,55088,22845
9068,55088,22849
9068,55088,22850
9068,55088,22851
9068,55088,22856
9068,55088,22857
9068,55088,22863
9068,55088,22864
1309,55089,22842
1309,55089,22842
1309,55089,22853
1309,55089,22862
11701,55090,22853
3055,55091,22858
3055,55091,22854
4144,55092,22848
4144,55092,22858
4144,55092,22859
6763,55093,22848
6763,55093,22858
6763,55093,22859
6763,55093,22860
8361,55094,22865
8361,55094,22865
6528,55095,22866
6528,55095,22867
6528,55095,22866
6528,55095,22867
9451,55096,22854
9451,55096,22859
12573,55097,22851
12573,55097,22856
12573,55097,22843
12573,55097,22845
12573,55097,22849
12573,55097,22850
12573,55097,22851
12573,55097,22856
12573,55097,22857
12573,55097,22863
12573,55097,22864
10590,55098,22843
1570,55099,22842
1570,55099,22859
1570,55099,22842
1570,55099,22853
1570,55099,22855
1570,55099,22862
2409,55100,22845
9469,55101,22846
11546,55102,22846
5430,55103,22847
1036,55104,22855
1036,55104,22848
1036,55104,22852
1036,55104,22855
8157,55105,22848
8157,55105,22852
8157,55105,22865
2227,55106,22848
2227,55106,22852
2227,55106,22855
3443,55107,22842
3443,55107,22853
3443,55107,22862
5181,55108,22856
5181,55108,22849
5181,55108,22856
5181,55108,22857
5181,55108,22863
5181,55108,22864
5181,55109,22841
5181,55109,22861
5181,55109,22841
5181,55109,22848
5181,55109,22858
5181,55109,22859
5181,55109,22860
5181,55109,22861
1024,55110,22841
1024,55110,22861
1036,55111,22868
1036,55111,22868
5073,55112,22868
5430,55114,22869
5073,55115,22869
1979,55116,22872
11701,55117,22871
11701,55118,22872
9687,55119,22872
9687,55119,22872
12113,55120,22872
9687,55121,22871
9687,55121,22872
5728,55122,22872
1652,55123,22871
1652,55123,22871
1652,55123,22872
9469,55124,22870
6208,55125,22871
6208,55125,22870
6208,55125,22871
6208,55125,22872
3328,55126,22872
8104,55127,22883
8104,55127,22874
8104,55127,22875
8104,55127,22876
12377,55128,22874
12377,55128,22878
10974,55129,22880
10974,55129,22881
10501,55130,22874
10501,55130,22878
12377,55131,22880
12377,55131,22874
12377,55131,22878
3209,55132,22881
1810,55133,22880
1810,55133,22874
1810,55133,22878
1699,55134,22883
1699,55134,22875
1699,55134,22876
11097,55135,22883
11097,55135,22874
11097,55135,22875
11097,55135,22876
11097,55135,22878
11701,55136,22883
8104,55137,22874
13945,55138,22874
13945,55138,22874
11020,55139,22883
11020,55139,22874
11020,55139,22876
7551,55140,22874
6560,55141,22874
943,55142,22879
943,55142,22883
943,55142,22875
943,55142,22876
943,55142,22879
2369,55143,22880
2369,55143,22881
2369,55143,22874
2369,55143,22878
2369,55143,22881
9068,55144,22873
9068,55144,22879
9068,55144,22883
9068,55144,22873
9068,55144,22876
9068,55144,22879
9451,55145,22873
9451,55145,22875
9451,55145,22879
11546,55146,22874
6932,55147,22875
6932,55147,22875
5181,55148,22876
1225,55149,22880
1225,55149,22881
1225,55149,22874
1225,55149,22877
1225,55149,22878
1225,55149,22881
1225,55149,22882
1570,55150,22874
1570,55150,22874
1570,55150,22878
4039,55151,22880
4039,55151,22881
4039,55151,22874
4039,55151,22877
4039,55151,22878
4039,55151,22881
4039,55151,22882
3328,55152,22884
5181,55153,22885
9733,55154,22884
9733,55154,22884
9733,55154,22885
9733,55154,22886
2227,55155,22884
2227,55155,22884
2227,55155,22885
11701,55156,22886
9068,55157,22884
9068,55157,22885
9068,55157,22886
2727,55158,22884
2727,55158,22885
2727,55158,22886
1827,55159,22886
4543,55160,22887
6031,55161,22888
6031,55161,22889
11701,55162,22888
4543,55163,22888
4543,55163,22889
9573,55164,22888
9573,55164,22889
9874,55165,22889
9874,55165,22888
9874,55165,22889
9469,55166,22887
4588,55167,22890
13940,55168,22890
9573,55169,22890
13945,55170,22890
4543,55171,22890
13926,55172,22890
2127,55173,22890
3702,55174,22890
1570,55175,22890
9573,55176,22888
9573,55176,22889
9573,55176,22891
9573,55176,22892
9874,55177,22892
9874,55177,22892
11701,55178,22892
4543,55179,22888
4543,55179,22889
4543,55179,22891
4543,55179,22892
2227,55182,22893
1368,55183,22893
7007,55184,22894
7007,55184,22894
8427,55185,22896
8427,55186,22896
8427,55186,22899
8427,55186,22900
8427,55186,22901
8104,55187,22897
11122,55188,22897
11122,55188,22900
8427,55189,22896
8427,55189,22899
11122,55190,22900
8427,55191,22896
8427,55191,22899
8427,55191,22901
3799,55194,22897
9469,55195,22897
8104,55196,22897
8104,55196,22898
12573,55197,22898
7600,55198,22898
9469,55199,22899
9531,55200,22900
9531,55200,22900
11701,55201,22900
12573,55202,22900
9469,55203,22901
10244,55204,22904
473,55205,22905
473,55205,22906
2227,55206,22902
12573,55207,22903
12573,55207,22904
1570,55208,22903
12573,55209,22904
4260,55210,22905
4260,55210,22906
11701,55211,22906
9208,55212,22905
9208,55212,22906
13410,55213,22906
13410,55213,22905
13410,55213,22906
1161,55214,22905
1161,55214,22906
13253,55215,22907
11701,55216,22907
4260,55217,22909
10758,55218,22909
7600,55225,22907
8355,55226,22907
8355,55226,22908
8355,55226,22909
5555,55227,22908
9469,55228,22907
9469,55228,22908
1570,55229,22909
13943,55231,22909
13943,55231,22910
4321,55232,22910
12674,55233,22911
8737,55234,22912
8737,55234,22912
1831,55235,22912
3526,55236,22915
3526,55236,22915
9834,55240,22913
13961,55241,22913
11380,55245,22913
3526,55246,22915
3526,55246,22914
3526,55246,22915
4260,55247,22914
5555,55248,22914
9469,55249,22914
13940,55250,22916
13944,55251,22916
13944,55252,22916
3144,55254,22916
9875,55255,22916
13940,55256,22916
4588,55257,22916
3702,55258,22916
1570,55259,22916
11886,55260,22917
11909,55261,22917
12298,55263,22918
9732,55264,22918
1570,55265,22918
1570,55265,22918
12490,55266,22919
86,55267,22919
86,55267,22919
9451,55268,22920
3362,55269,22919
3362,55269,22920
5691,55270,22922
5691,55270,22922
5974,55271,22921
5974,55271,22923
9469,55272,22921
9469,55272,22923
5652,55273,22921
5652,55273,22923
9469,55274,22923
414,55275,22922
414,55275,22924
1309,55276,22922
1309,55276,22922
1309,55276,22924
11701,55277,22924
11751,55278,22925
9753,55279,22929
5974,55280,22926
9469,55281,22926
10836,55282,22927
1309,55283,22927
1309,55283,22927
11701,55284,22927
3940,55285,22928
3940,55285,22929
7433,55286,22930
7433,55286,22930
10992,55287,22930
10992,55287,22930
10992,55287,22932
539,55288,22930
539,55288,22930
539,55288,22932
539,55288,22933
5017,55289,22930
5017,55289,22930
8490,55290,22930
8490,55290,22930
8490,55290,22931
8490,55290,22932
8490,55290,22933
11380,55291,22931
1570,55292,22932
7600,55293,22933
5650,55294,22936
10802,55295,22938
10802,55295,22939
7007,55296,22934
7007,55296,22934
7007,55296,22938
7007,55296,22939
1827,55297,22935
5650,55298,22935
5430,55299,22937
1368,55300,22937
911,55301,22938
911,55301,22939
6911,55302,22940
6911,55302,22941
6911,55302,22943
6911,55302,22944
6911,55302,22946
6911,55302,22948
6911,55302,22949
6911,55302,22952
6911,55302,22954
6911,55302,22955
10083,55303,22940
10083,55303,22940
10083,55303,22941
10083,55303,22942
10083,55303,22954
13769,55304,22940
13769,55304,22940
13769,55304,22941
13769,55304,22943
13769,55304,22944
13769,55304,22946
13769,55304,22948
13769,55304,22949
13769,55304,22952
13769,55304,22954
13769,55304,22955
1990,55305,22942
10083,55306,22940
10083,55306,22942
10083,55307,22940
10083,55307,22940
10083,55307,22941
10083,55307,22942
10083,55307,22943
10083,55307,22949
10083,55307,22950
10083,55307,22954
13769,55308,22940
13769,55308,22940
13769,55308,22941
13769,55308,22943
13769,55308,22944
13769,55308,22946
13769,55308,22948
13769,55308,22949
13769,55308,22950
13769,55308,22952
13769,55308,22954
13769,55308,22955
1990,55309,22942
1990,55309,22949
10686,55310,22940
10686,55310,22945
10686,55310,22940
10686,55310,22941
10686,55310,22942
10686,55310,22943
10686,55310,22944
10686,55310,22945
10686,55310,22949
10686,55310,22950
10686,55310,22951
10686,55310,22954
10083,55311,22940
10083,55311,22940
10083,55311,22941
10083,55311,22942
10083,55311,22943
10083,55311,22944
10083,55311,22945
10083,55311,22946
10083,55311,22947
10083,55311,22949
10083,55311,22950
10083,55311,22951
10083,55311,22952
10083,55311,22954
11701,55312,22945
6911,55313,22940
6911,55313,22941
6911,55313,22943
6911,55313,22944
6911,55313,22945
6911,55313,22946
6911,55313,22948
6911,55313,22949
6911,55313,22951
6911,55313,22952
6911,55313,22954
6911,55313,22955
10686,55314,22940
10686,55314,22945
10686,55314,22940
10686,55314,22941
10686,55314,22942
10686,55314,22943
10686,55314,22944
10686,55314,22945
10686,55314,22946
10686,55314,22947
10686,55314,22949
10686,55314,22950
10686,55314,22951
10686,55314,22952
10686,55314,22954
10083,55315,22940
10083,55315,22940
10083,55315,22941
10083,55315,22942
10083,55315,22943
10083,55315,22944
10083,55315,22945
10083,55315,22949
10083,55315,22950
10083,55315,22951
10083,55315,22954
13769,55316,22945
13769,55316,22940
13769,55316,22941
13769,55316,22943
13769,55316,22944
13769,55316,22945
13769,55316,22946
13769,55316,22947
13769,55316,22948
13769,55316,22949
13769,55316,22951
13769,55316,22952
13769,55316,22954
13769,55316,22955
11380,55318,22940
11380,55318,22941
11380,55318,22943
11380,55318,22944
11380,55318,22946
11380,55318,22948
11380,55318,22949
11380,55318,22952
11380,55318,22954
11380,55318,22955
12645,55319,22942
12645,55319,22942
1570,55320,22942
12838,55321,22940
