smarts_hash_id,unit_id,unit
71f568c1,3381,bMe-Cys
54f017d3,3381,bMe-Cys
0055f6ec,3381,bMe-Cys
4334942d,3381,bMe-Cys
5ec1cbba,3382,S.1918.7
98d5520a,3382,S.1918.7
b3bd85a6,3383,P.492.2
17c8720a,3384,S.659142.49
a85a72cb,3384,S.659142.49
1436bf5b,3385,P.974.27
bfe18b4d,3385,P.974.27
ccd81ace,3386,S.567.17
a83fc9f7,3386,S.567.17
66fc2dbe,3387,carbonamino
d1494678,3388,P.3187.6
a6a9c772,3389,S.1628.87
674fc811,3389,S.1628.87
f6c94be5,3390,S.771.5
35036477,3391,P.3184.15
0591c1d6,3392,P.707.13
a4d7eedf,3392,P.707.13
4a42aa3e,3393,cid_5312495
5d88fe28,3394,cid_5283058
853a415e,3395,S.659142.21
dfbe9197,3396,S.659104.3
0e568709,3396,S.659104.3
1c5a59af,3397,cid_444899
245a11d6,3398,P.1701.16
7a12d825,3398,P.1701.16
6ee357d9,3399,P.2248.6
c8230ebe,3400,P.M00573.26
3eb59cf1,3400,P.M00573.26
a200d35e,3400,P.M00573.26
7215564e,3401,P.722.7
9b957314,3402,P.1154.3
bf176371,3403,P.2572.15
599be819,3404,S.836.38
3a526515,3404,S.836.38
68190030,3405,S.659124.7
853396d2,3405,S.659124.7
d85f4f50,3406,P.1380.2
462594f0,3407,P.1865.49
874feadd,3408,P.M00039.51
79575985,3408,P.M00039.51
f59f7f6f,3408,P.M00039.51
5635b167,3409,P.1136.2
1d039c77,3409,P.1136.2
cf1f0ed0,3410,P.2187.8
53a46ce7,3411,S.1146.21
07f6d38f,3411,S.1146.21
97582407,3412,P.2478.34
f3c2031f,3412,P.2478.34
fb067660,3412,P.2478.34
cf4aff3e,3413,P.1367.7
73f9a0f6,3413,P.1367.7
fa4931e7,3413,P.1367.7
dd15b4a2,3414,P.572.5
63fe9c3a,3414,P.572.5
95b73053,3415,P.3115.70
f7757077,3416,P.2958.104
2b8f0367,3417,S.659148_B.9
64414113,3417,S.659148_B.9
8c9e79fa,3417,S.659148_B.9
c4c936e8,3418,cid_16663321
df22cc10,3419,P.M00085.36
0c9f78cb,3420,cid_6441679
3ada1ce3,3421,S.962.6
719474c2,3422,P.1758.16
bf8d3824,3422,P.1758.16
8797f4af,3423,S.792.4
856ceb26,3423,S.792.4
33931a72,3423,S.792.4
b3fc412d,3424,OMeMal-AMT
05dfa832,3424,OMeMal-AMT
02d56624,3424,OMeMal-AMT
84cfe0d4,3424,OMeMal-AMT
9767bc89,3424,OMeMal-AMT
59aa0beb,3424,OMeMal-AMT
e8229e09,3425,S.839.2
fbfc43ef,3426,C7:0
b570d65f,3427,C6:0-OH(3.5)-NH2(4)
afa4670f,3428,P.M00136.6
957b3b1f,3428,P.M00136.6
53f64c97,3428,P.M00136.6
adea019e,3428,P.M00136.6
2297d01d,3429,P.27.4
9bec7c9b,3429,P.27.4
13895b51,3429,P.27.4
4a7e54ee,3430,P.3063.98
b2bc2c77,3430,P.3063.98
d3076cbe,3430,P.3063.98
a606bfea,3430,P.3063.98
17e2a451,3430,P.3063.98
7d9e2d6d,3431,P.3041.29
0233f40f,3432,P.1837.3
f1496a36,3433,P.2675.5
2e0a1cfd,3433,P.2675.5
9e4dd887,3434,P.1394.9
98dd5169,3434,P.1394.9
67ae5208,3435,P.1620.43
0a06fc06,3435,P.1620.43
c9554d07,3436,S.1774.19
9a898608,3436,S.1774.19
f78372f6,3437,S.659139.16
dbc67295,3437,S.659139.16
27dcee39,3438,P.M00113.18
64f2cb12,3439,P.M00778.39
04fadbaf,3439,P.M00778.39
92fe0ebd,3440,P.M00060.2
5f266f8d,3440,P.M00060.2
b07f74c1,3441,P.M00044.11
23fc1939,3442,P.1568.1
a7385844,3443,P.2299.33
7900d566,3444,P.3020.89
11f4a8ae,3445,P.994.23
5be48346,3446,P.1561.10
308f76d6,3446,P.1561.10
2e09c02e,3447,P.M00814.28
2c2f8c06,3448,P.M00889.22
fcdecb05,3448,P.M00889.22
c342d258,3449,S.700.28
d12955d9,3450,P.M00112.26
4823ec6f,3450,P.M00112.26
c09dd4ef,3450,P.M00112.26
b78428b1,3451,P.123.7
6be59d4a,3451,P.123.7
4dd1fc88,3452,P.1623.6
c1347343,3452,P.1623.6
be94ad89,3452,P.1623.6
a2408c9c,3453,P.M00815.3
921d196f,3454,Mal-KS-R
4017be7a,3455,P.915.2
2af3b46d,3455,P.915.2
8b8eaf2b,3456,P.M00848.17
65ec5799,3456,P.M00848.17
786e84c4,3457,P.M00889.18
e17a6593,3458,P.M00740.13
032ea768,3459,P.3104.14
e2cf2186,3459,P.3104.14
e3ad8c04,3460,P.168.3
e50489b5,3461,P.896.9
d1b7f64c,3461,P.896.9
8c6e2dcd,3461,P.896.9
118a4484,3462,P.2857.12
f3c25e30,3462,P.2857.12
32686c51,3463,P.2199.62
53eb2ed1,3464,Abu
dcac2a5b,3464,Abu
b6c0c823,3464,Abu
1d4d5592,3464,Abu
6bce464a,3464,Abu
39ea2b77,3464,Abu
e5cdb08d,3464,Abu
7a8b87d7,3464,Abu
316abd48,3464,Abu
9918b737,3465,S.1321.4
d2b8bd1f,3466,cid_4575239
e4334ee8,3467,P.M00103.1
860fc6bb,3467,P.M00103.1
83b665e2,3468,P.1331.8
8e959f30,3468,P.1331.8
250c1c56,3469,S.659105.38
b353e97e,3470,P.981.3
6872c756,3471,P.800.3
78a6eadb,3471,P.800.3
7089262a,3472,P.M00903.7
2222702d,3472,P.M00903.7
a26baa14,3473,P.M00035.6
e036d2d2,3474,P.319.9
83eb9b0e,3474,P.319.9
e31c1109,3475,S.623.2
45311173,3475,S.623.2
c1622296,3476,P.M00894.14
45248452,3477,S.659151_B.2
1e2ecb6d,3478,S.1014.5
b1f58077,3479,P.M00102.7
a6fa205c,3479,P.M00102.7
2fc67142,3479,P.M00102.7
842a7ecd,3480,P.209.4
9b335d03,3480,P.209.4
414e5c60,3481,P.1074.10
88dd200e,3482,P.193.5
126799a9,3482,P.193.5
f6fe403b,3483,P.2269.3
94dba0af,3484,cid_24807772
3959b6b9,3485,P.1231.38
69169b0a,3485,P.1231.38
f75e4b53,3486,P.2917.98
1d9ec775,3486,P.2917.98
33ff15b0,3486,P.2917.98
db0b7c8f,3486,P.2917.98
cf6200ce,3487,S.659100.18
82740ef3,3488,O-methyl-L-amicetose
a7417a0e,3488,O-methyl-L-amicetose
e14ecc4e,3489,P.1261.45
03ce34f6,3489,P.1261.45
db486007,3490,S.1612.39
94ed3b8c,3491,P.1475.2
d5827ad7,3491,P.1475.2
7bdfdbe9,3492,P.2679.2
f0bda9d7,3493,P.2991.74
b7b81e6c,3494,P.3210.24
87b967b1,3495,P.1307.8
edeef1b3,3495,P.1307.8
723329cb,3496,P.1049.2
3611f1eb,3497,P.2336.129
e2b39e3c,3498,P.2336.270
707b5b54,3499,S.659086.25
dfed4f6e,3500,S.1309.8
78b59a43,3500,S.1309.8
16cb014e,3501,S.659060.48
5b35c915,3502,cid_5322010
340005b5,3503,P.1233.8
9225b4e8,3503,P.1233.8
f8d38b15,3503,P.1233.8
830fc851,3503,P.1233.8
476226b7,3504,P.M00378.3
d2f50122,3504,P.M00378.3
377ff7d0,3505,S.659138.8
5ce08f85,3505,S.659138.8
61bda42e,3505,S.659138.8
fbde8d45,3506,P.925.36
d36c8fcc,3507,S.839.27
fe3e3ea2,3507,S.839.27
249f9b60,3508,P.2922.88
93d606e3,3508,P.2922.88
392f1714,3508,P.2922.88
77241c06,3509,P.937.25
360a643c,3510,P.M00877.2
e6d1b34f,3510,P.M00877.2
cc1d1167,3511,P.3020.31
6c710bec,3512,P.M00893.22
99453ec6,3513,P.2993.108
82131480,3514,P.2608.18
4b210771,3514,P.2608.18
e0f38cf0,3515,P.335.4
69bde016,3515,P.335.4
9dbd6f66,3516,P.3031.141
d5cec56e,3516,P.3031.141
639c88a7,3516,P.3031.141
e00c5a38,3517,P.M00104.44
a3677a75,3518,P.1960.1
b05cd1dd,3519,S.1831.7
e01684c2,3520,P.288.49
524fcebe,3521,P.1579.3
fc60b108,3521,P.1579.3
eb3feb95,3522,P.3009.7
75606391,3523,P.M00173.8
a14647ba,3524,P.3122.20
deef5b42,3525,P.3011.45
f2470a2f,3526,paranitrobenzoic acid
9596a276,3526,paranitrobenzoic acid
615d8b0e,3527,P.3036.4
8ab6c4f1,3527,P.3036.4
2831136c,3527,P.3036.4
9ad88883,3528,S.1612.11
e05985e2,3529,S.923.6
cf31b793,3529,S.923.6
be6cb4e7,3530,P.M00543.15
68f069a2,3531,6-deoxy-β-ribo-hexopyranose-ulose
4e7f32e4,3532,P.2072.8
15e22f92,3533,S.613.26
62416ee2,3533,S.613.26
89538852,3534,S.1249.20
3d381594,3534,S.1249.20
5982b48c,3535,cid_111278
fc536b6c,3536,P.51.13
79ca3cb8,3536,P.51.13
db5ed92f,3537,P.2953.29
75ad6ef1,3538,P.M00569.5
9683b006,3539,P.2548.6
9d2209bf,3540,P.1469.3
b8169e05,3541,P.M00775.8
d56560c2,3541,P.M00775.8
13bd02d0,3541,P.M00775.8
830a5a8a,3542,P.887.26
ce5d8a67,3543,S.664.7
1c1b8373,3543,S.664.7
3a09897d,3544,P.3092.30
921b635f,3545,P.M00128.3
28dbb231,3546,P.520.3
3455ba29,3546,P.520.3
d97e98bb,3547,P.M00900.9
72812fec,3547,P.M00900.9
faefa6f7,3547,P.M00900.9
bba27553,3548,P.2747.5
799257fb,3548,P.2747.5
7878d0b5,3549,P.2972.167
5b61a348,3550,P.764.1
fc8d35b0,3550,P.764.1
46b95494,3550,P.764.1
5254b80d,3550,P.764.1
5690889e,3550,P.764.1
0bd73fbe,3550,P.764.1
48ba370e,3551,P.2969.52
e510a190,3552,P.2710.8
96d93dc1,3553,P.3036.22
066c2a0e,3553,P.3036.22
e0aa8584,3554,P.M00780.47
d6031ce4,3554,P.M00780.47
c39ece94,3555,P.49.4
9528aa43,3556,P.M00567.28
998ee946,3556,P.M00567.28
c09a5221,3557,P.3009.3
738b962e,3558,P.256.28
44fd07f0,3559,P.2920.29
76973aa4,3560,P.365.15
40fb1ccb,3561,cid_13185
039ef77c,3562,P.1777.6
e2f3a745,3563,P.2795.1
cf548645,3564,P.210.4
02ff3a1d,3565,P.1859.5
