metabolite_id,smiles,chemotype
76,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(C)/C=C/C2=C(C)CCC(O)C2(C)C)C(C)(C)CCC1,Terpene
77,CC(=O)NC1C(OC2CC(C(=O)NCCS(=O)(=O)O)NC2CO)OC(CO)C(OS(=O)(=O)O)C1O,Aminoglycoside
78,CCC1CC(=O)c2c(c(O)c3c(O)c4c(O)ccc(O)c4c(O)c3c2O)C1O,TypeIIPolyketide
79,CC(/C=C/C=C/C=C/C=CC(=O)c1c(O)c(CCC(=O)O)n(C)c1O)=C\C(C)C(O[C@H]1C[C@H](O)[C@H](O)[C@@H](C)O1)C(C)C,TypeIPolyketide
80,CC(C)CCCCCCCCCCC[C@@H](O)CC(=O)N[C@@H](CO[C@@H]1OC(CO)[C@H](O)C(O)C1O)[C@H](O)CCCCCCCCCCCC(C)C,Aminoglycoside
81,COC(=O)c1cc2cc(CCc3coc4c3C(=O)c3c(OC)cc(OC)c(O)c3C4=O)c(O)c(O)c2c(=O)o1,TypeIIPolyketide
83,CC(=O)OC12CC(C(=O)c3c1cc1c(c3O)C(C)OC(CC(=O)O)C1)c1c2c(O)c2c(O)c(CC(=O)CC(=O)O)c(O)c(O)c2c1O,TypeIIPolyketide
84,CC1=CCC2(C3(C)CCCC3(C)C)CC12,Terpene
85,CC(CCCC1SCC2NC(=O)NC21)C(=O)O,Alkaloid
86,CC(/C=C\C=C\C=C\C=C\C(=O)c1c(O)c(CCC(=O)O)n(C)c1O)=C/C(C)C(OC1CC(O)C(O)C(C)O1)C(C)C,TypeIPolyketide
88,CC1OC(OC2C(O)C(C)OC(OC3C(O)C(C)OC(O)C3O)C2O)C(O)C(O)C1O,Aminoglycoside
89,CC1OC(OC2C(O)C(CO)OC(O)C2OC2OC(C(=O)O)C(O)C(O)C2O)C(O)C(O)C1O,Aminoglycoside
90,CC1OC(OC2C(C)OC(O)C(O)C2OC2OC(C)C(O)C(O)C2O)C(O)C(O)C1O,Aminoglycoside
91,CC1OC(OC2C(O)C(O)OC(C)C2OC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O,Aminoglycoside
92,CC1OC(OC2C(N)C(OC3C(O)OC(C)C(O)C3O)OC(CO)C2O)C(O)C(O)C1O,Aminoglycoside
93,CC1OC(OC2C(OC3C(C)OC(O)C(O)C3O)OC(C)C(O)C2O)C(O)C(O)C1O,Aminoglycoside
